model,RMSE,MAE,MSE,R2,MAPE,Spearman,CCC,CI_0.8_size,CI_0.9_size,CI_0.95_size,n_train,n_test,n_features,early_stop_rmse
Baseline,0.5197407761304801,0.3593675799106448,0.2701304743727138,0.4859996781976096,876.3276845809063,0.6973134199123588,0.6590110186140393,1.1442798735308235,1.6251084388154582,2.2699047996321746,10114,2537,2094,0.47601927616844997
PCA,0.5168469690526827,0.35982068997018646,0.26713078941894475,0.4917074349219239,791.961801669631,0.6996224644766689,0.6611354014112318,1.1531733754206122,1.6514069794612898,2.2080457220252727,10114,2537,2053,0.46282308145701145
ADME,0.5090699156894479,0.34938304643634965,0.25915217906006166,0.506889018197654,848.0452994516735,0.7142583263743114,0.6618779025109943,1.13606207034367,1.5734643666328847,2.185684045291299,10114,2537,2162,0.4832533499846443
Plain,0.5072073275217963,0.3530085835360185,0.25725927309180274,0.5104908120311193,684.6264109620361,0.7137644669346564,0.6695723221316012,1.1353205651365927,1.6175580563250032,2.1692469433201844,10114,2537,2050,0.4709758016574947
BBB pass,0.4785727066202524,0.32799319491905693,0.22903183552183418,0.4331600190434882,709.6134211702824,0.6681109366552809,0.6066069088407592,0.9971154585913478,1.4651778657279262,1.963662256158273,6871,1732,2094,0.40992104443272404
