model,RMSE,MAE,MSE,R2,MAPE,Spearman,CCC,CI_0.8_size,CI_0.9_size,CI_0.95_size,calib_size,n_iter
Baseline,0.5184179177450919,0.35864524905012607,0.2688165820597843,0.4896166633126816,886.8976435730289,0.700117096425045,0.6613431423957136,1.1442798735308235,1.6251084388154582,2.2699047996321746,500.0,30.0
PCA,0.5152540077511306,0.35882195121182797,0.2655340093387646,0.4958146881419812,800.9261744158033,0.7035953837345265,0.6637380556211748,1.1531733754206122,1.6514069794612898,2.2080457220252727,500.0,30.0
ADME,0.5074708379782936,0.3486274578021583,0.2575917256859707,0.5109351027706936,822.2382199558255,0.7173794220987442,0.6646196504032363,1.13606207034367,1.5734643666328847,2.185684045291299,500.0,30.0
Plain,0.5054711098233707,0.3520529151219157,0.25555004807094583,0.5147696572999285,668.9548020848836,0.7171599704257762,0.6723600369835903,1.1353205651365927,1.6175580563250032,2.1692469433201844,500.0,30.0
BBB pass,0.4793454734473917,0.32833160923746973,0.22989911344888786,0.43274687542257906,696.9744655675828,0.6659332128642135,0.6056617265329398,0.9971154585913478,1.4651778657279262,1.963662256158273,500.0,30.0
