model,RMSE,MAE,MSE,R2,MAPE,Spearman,CCC,CI_0.8_size,CI_0.9_size,CI_0.95_size,calib_size,n_iter
Baseline,0.5258788095726412,0.36331818179705205,0.2765994293650117,0.4997715247518106,543.3300171396157,0.7000610667778732,0.6695587954632971,1.134031422023908,1.6562219748458227,2.2626192437263657,500.0,30.0
PCA,0.5234283042952833,0.35954524552789546,0.2740213267249999,0.5044168217036443,526.2234636034331,0.7067386890566426,0.6745709617629962,1.1074957230652418,1.6114345557298637,2.3040063088197207,500.0,30.0
ADME,0.5041990449839607,0.3491589642487183,0.25426386633095766,0.5401461398766848,467.8801580126784,0.7302173093853082,0.6966851324309423,1.0845595371553387,1.5721705143433817,2.1773409429694417,500.0,30.0
Plain,0.5227668869146603,0.353476835888172,0.2733382234923205,0.5056762389853261,708.2231178002235,0.7184806764970396,0.6732447131982519,1.0791489803240357,1.6018003578892468,2.3695770312293747,500.0,30.0
BBB pass,0.4611756585591612,0.3308828872047155,0.21278338660252985,0.440413051662416,250.88198466197142,0.6601884366501619,0.6245448439972237,1.014585522610465,1.449119552989,1.9351049130943339,500.0,30.0
