replicate,btox_median,mean_E_44_median
1,1.7993756951764226,-6.925000000000001
2,1.7976654767990112,-6.955813953488373
3,1.8023297786712646,-6.947727272727271
4,1.79893802665174,-6.92299154334038
5,1.7906635999679565,-6.936363636363638
6,1.8024669289588928,-6.9454545454545435
7,1.8017543256282806,-6.915909090909092
8,1.8090507090091705,-6.938636363636363
9,1.8083586134016514,-6.941860465116279
10,1.7956534274853764,-6.913961038961041
11,1.7975931465625763,-6.931818181818183
12,1.7845796346664429,-6.92325581395349
13,1.7955420203506947,-6.9363636363636365
14,1.8004704341292381,-6.937025703794367
15,1.8093279227614403,-6.956818181818184
16,1.806795358657837,-6.941860465116279
17,1.8015308305621147,-6.936363636363635
18,1.8072081748396158,-6.929545454545456
19,1.7914827801287174,-6.931818181818183
20,1.7980060860063531,-6.949999999999999
21,1.7964382097125053,-6.927272727272729
22,1.7912477366626263,-6.922727272727274
23,1.7982128486037254,-6.938636363636364
24,1.7929324842989445,-6.927272727272728
25,1.8018310219049454,-6.940909090909091
26,1.7959036726970226,-6.947727272727273
27,1.797753244638443,-6.918181818181816
28,1.804910659790039,-6.927272727272728
29,1.8011752367019653,-6.92840909090909
30,1.7913418039679527,-6.938636363636363
31,1.8091239482164383,-6.947727272727271
32,1.8036835566163063,-6.945454545454545
33,1.8042383678257465,-6.950000000000002
34,1.7876921892166138,-6.938636363636364
35,1.8119917213916779,-6.943181818181818
36,1.7934395968914032,-6.927272727272728
37,1.795560471713543,-6.943181818181818
38,1.7994735590182245,-6.927272727272728
39,1.7894262075424194,-6.9223392461197335
40,1.7872005570679903,-6.932954545454545
41,1.775545060634613,-6.909090909090907
42,1.7853519394993782,-6.923255813953488
43,1.8017871379852295,-6.937209302325582
44,1.8055478390306234,-6.95
45,1.8025351017713547,-6.954545454545453
46,1.7963302358984947,-6.9454545454545435
47,1.7979024037267664,-6.953488372093023
48,1.7892798595130444,-6.9363636363636365
49,1.8057394921779633,-6.9413847780126865
50,1.8084775344468653,-6.949999999999999
51,1.7844574972987175,-6.913794926004229
52,1.7967747037764639,-6.913636363636364
53,1.8034135699272156,-6.927272727272728
54,1.7940227538347244,-6.927272727272726
55,1.7963698655366898,-6.950000000000002
56,1.7877355366945267,-6.943181818181817
57,1.7877355366945267,-6.955813953488374
58,1.7984640151262283,-6.951717758985201
59,1.7990866885520518,-6.939534883720932
60,1.810713853687048,-6.928726215644819
61,1.7885630913078785,-6.954545454545454
62,1.7965998463332653,-6.949999999999998
63,1.8115715086460114,-6.954545454545452
64,1.8005066104233265,-6.929545454545453
65,1.8083586134016514,-6.947727272727272
66,1.7955812364816666,-6.951162790697675
67,1.8003964107483625,-6.934090909090909
68,1.8059628438204527,-6.931818181818183
69,1.7944791615009308,-6.914931289640592
70,1.7894978001713753,-6.9142857142857155
71,1.8097691386938095,-6.925
72,1.8082911390811205,-6.936842105263157
73,1.7971806824207306,-6.925
74,1.7989453673362732,-6.94598308668076
75,1.7841513752937317,-6.94090909090909
76,1.796978080412373,-6.937209302325582
77,1.7942897528409958,-6.949418604651162
78,1.786115089431405,-6.913794926004229
79,1.8064320161938667,-6.943181818181817
80,1.789240898564458,-6.931818181818182
81,1.8049906492233274,-6.951717758985201
82,1.805978700518608,-6.952272727272727
83,1.7935950458049774,-6.90909090909091
84,1.7927217818796635,-6.929545454545456
85,1.7919739224016666,-6.94022198731501
86,1.7912034802138805,-6.9363636363636365
87,1.7853519394993782,-6.918181818181819
88,1.8102263510227203,-6.945454545454546
89,1.805991854518652,-6.927272727272728
90,1.7944707199931145,-6.943542128603106
91,1.7929982040077448,-6.950000000000001
92,1.8067842051386833,-6.954545454545453
93,1.797038204735145,-6.943542128603106
94,1.7959036726970226,-6.929545454545453
95,1.8044244199991226,-6.937025703794369
96,1.7885223142802715,-6.934090909090908
97,1.8102185130119324,-6.963636363636366
98,1.800121022388339,-6.936363636363637
99,1.8118678778409958,-6.951162790697675
100,1.8011752367019653,-6.9402219873150095
101,1.7845101580023766,-6.918181818181818
102,1.8007900342345238,-6.924999999999999
103,1.7932517603039742,-6.927272727272728
104,1.7994826138019562,-6.9340909090909095
105,1.7935090065002441,-6.952272727272727
106,1.8023983538150787,-6.926969696969696
107,1.7961746826767921,-6.939534883720929
108,1.79893802665174,-6.936363636363637
109,1.797038204735145,-6.929545454545456
110,1.7959244374651462,-6.9142857142857155
111,1.7903104797005653,-6.927272727272726
112,1.799630037508905,-6.916279069767441
113,1.7942561656236649,-6.931818181818183
114,1.7947835177183151,-6.965512684989429
115,1.8010105788707733,-6.968181818181819
116,1.8067662790417671,-6.953488372093023
117,1.7971205580979586,-6.952272727272727
118,1.797929397180269,-6.924999999999999
119,1.79803916066885,-6.952272727272727
120,1.7993756951764226,-6.931818181818183
121,1.7939715087413788,-6.940909090909089
122,1.8034135699272156,-6.934883720930232
123,1.7793870205059648,-6.952272727272727
124,1.7944707199931145,-6.943181818181819
125,1.8081526160240173,-6.94186046511628
126,1.8050638809800148,-6.911237373737373
127,1.7976731956005096,-6.934487315010571
128,1.7935950458049774,-6.943181818181819
129,1.8143238388001919,-6.925
130,1.8041684199124575,-6.941860465116281
131,1.7907766737043858,-6.922727272727274
132,1.7929324842989445,-6.947727272727274
133,1.7969077373854816,-6.9511627906976745
134,1.7869675625115633,-6.904651162790699
135,1.7941182511858642,-6.934090909090911
136,1.7845796346664429,-6.954016913319238
137,1.7967747037764639,-6.929545454545456
138,1.8092584758996964,-6.934090909090909
139,1.7903104797005653,-6.940909090909091
140,1.8009833097457886,-6.940909090909091
141,1.7972549200057983,-6.947727272727273
142,1.796978080412373,-6.938636363636365
143,1.7935950458049774,-6.938636363636364
144,1.7984640151262283,-6.942521141649048
145,1.8040984719991682,-6.936363636363635
146,1.8025351017713547,-6.927272727272728
147,1.7996158739551902,-6.947727272727272
148,1.801476076245308,-6.941384778012685
149,1.7939978539943695,-6.945454545454546
150,1.796506553888321,-6.934090909090907
151,1.7929324842989445,-6.938095238095239
152,1.8012029379606247,-6.927272727272728
153,1.8036835566163063,-6.941860465116279
154,1.801476076245308,-6.931818181818181
155,1.7945395857095718,-6.947727272727273
156,1.7990037202835083,-6.9363636363636365
157,1.8047578781843185,-6.927272727272728
158,1.7935950458049774,-6.916472868217054
159,1.8148041889071465,-6.936363636363637
160,1.781138688325882,-6.915909090909091
161,1.8104666396975517,-6.952880549682876
162,1.813764400780201,-6.956818181818182
163,1.8007913827896118,-6.896256684491979
164,1.802562765777111,-6.94022198731501
165,1.7978963225177722,-6.934883720930232
166,1.7823887020349503,-6.934090909090907
167,1.7921665161848068,-6.927272727272728
168,1.7862030267715454,-6.931818181818182
169,1.8003747537732124,-6.927272727272729
170,1.798115849494934,-6.936363636363637
171,1.791109412908554,-6.921202882483373
172,1.7856375575065613,-6.938095238095239
173,1.7979354783892632,-6.942521141649048
174,1.8059469871222973,-6.954545454545454
175,1.8062442168593407,-6.931818181818182
176,1.7912477366626263,-6.952272727272727
177,1.803182352334261,-6.9482822410148
178,1.8022114224731922,-6.950000000000002
179,1.790803575888276,-6.948282241014799
180,1.7909706756472588,-6.920454545454545
181,1.7918719630688429,-6.9340909090909095
182,1.8079420551657677,-6.936038961038959
183,1.7936387360095978,-6.94186046511628
184,1.7992192166857421,-6.938636363636363
185,1.8023297786712646,-6.915909090909093
186,1.8036835566163063,-6.9523809523809526
187,1.7860386483371258,-6.917424242424241
188,1.8151541706174612,-6.920454545454548
189,1.7992192166857421,-6.953488372093023
190,1.7899030670523643,-6.920454545454548
191,1.7896433770656586,-6.957478858350952
192,1.7990866885520518,-6.9363636363636365
193,1.7941003441810608,-6.927272727272727
194,1.7699967473745346,-6.939085623678647
195,1.805721715092659,-6.915909090909091
196,1.7980121672153473,-6.915909090909093
197,1.8085585180670023,-6.9454545454545435
198,1.8034405410289764,-6.924127906976743
199,1.798912520520389,-6.952272727272728
200,1.7872005570679903,-6.931818181818182
201,1.7907201368361712,-6.911627906976744
202,1.803514614701271,-6.929545454545455
203,1.79893802665174,-6.930681818181819
204,1.8146046251058578,-6.936363636363637
205,1.802941631525755,-6.925
206,1.8082556147128344,-6.927272727272729
207,1.7976293116807938,-6.93720930232558
208,1.794948574155569,-6.913636363636366
209,1.8213681429624557,-6.970454545454544
210,1.8040984719991682,-6.95
211,1.801230639219284,-6.913636363636366
212,1.8092584758996964,-6.955813953488374
213,1.8042186126112938,-6.947727272727271
214,1.7906687036156654,-6.9340909090909095
215,1.8085557967424393,-6.931818181818182
216,1.7939978539943695,-6.925
217,1.8025010153651237,-6.931818181818182
218,1.7977093607187271,-6.920454545454546
219,1.8026860430836678,-6.953488372093023
220,1.779027372598648,-6.931818181818182
221,1.7876650318503378,-6.927272727272729
222,1.7914827801287174,-6.947727272727271
223,1.8028183542191982,-6.94186046511628
224,1.8055289164185524,-6.925
225,1.805721715092659,-6.941860465116279
226,1.7965505495667458,-6.947727272727274
227,1.791109412908554,-6.938365800865801
228,1.8042383678257465,-6.950000000000002
229,1.7911732755601406,-6.951162790697674
230,1.7931860405951738,-6.9363636363636365
231,1.7970502150710672,-6.9266666666666685
232,1.7979024037267664,-6.943181818181819
233,1.805137112736702,-6.952272727272726
234,1.784921313636005,-6.942521141649048
235,1.8038524985313416,-6.95232683982684
236,1.796555943787098,-6.902272727272727
237,1.8066590577363968,-6.925000000000001
238,1.7971085477620363,-6.939534883720929
239,1.8047141283750534,-6.904545454545453
240,1.7965364158153534,-6.927272727272726
241,1.8060471937060356,-6.949418604651162
242,1.7964382097125053,-6.922727272727272
243,1.803182352334261,-6.952272727272727
244,1.7971806824207306,-6.902272727272728
245,1.7936387360095978,-6.929545454545456
246,1.8066590577363968,-6.9386363636363635
247,1.8010105788707733,-6.947727272727273
248,1.7984640151262283,-6.927272727272728
249,1.7911732755601406,-6.929545454545456
250,1.797242909669876,-6.93448731501057
251,1.798752598464489,-6.952272727272728
252,1.7885617539286613,-6.927272727272728
253,1.8033865988254547,-6.938636363636365
254,1.7912477366626263,-6.93689733408962
255,1.7972549200057983,-6.9363636363636365
256,1.793063923716545,-6.918181818181816
257,1.813911035656929,-6.948837209302326
258,1.792491463944316,-6.9107142857142865
259,1.798887014389038,-6.907954545454546
260,1.8062049746513367,-6.92299154334038
261,1.7929982040077448,-6.95681818181818
262,1.8038065433502197,-6.926666666666668
263,1.8029051572084427,-6.945454545454546
264,1.793063923716545,-6.929545454545453
265,1.794203720986843,-6.926969696969696
266,1.7971806824207306,-6.932085561497327
267,1.7840642407536507,-6.9298890063424965
268,1.7971926927566528,-6.95909090909091
269,1.7910047471523285,-6.955813953488374
270,1.7936116755008698,-6.936585365853658
271,1.7977808996583917,-6.925
272,1.7847253531217575,-6.931818181818182
273,1.7944707199931145,-6.934090909090908
274,1.78849595785141,-6.943181818181817
275,1.8063319027423859,-6.952272727272728
276,1.794948574155569,-6.923255813953488
277,1.8076968491077423,-6.94090909090909
278,1.7984640151262283,-6.931025369978858
279,1.7941006645560265,-6.936363636363635
280,1.7993756951764226,-6.938636363636363
281,1.8008228354156017,-6.941860465116281
282,1.8050638809800148,-6.956818181818182
283,1.8059628438204527,-6.937209302325582
284,1.7976731956005096,-6.9409090909090905
285,1.803975485265255,-6.926969696969696
286,1.7885236516594887,-6.920454545454546
287,1.7976279556751251,-6.925
288,1.787225142121315,-6.934883720930232
289,1.7794163851067424,-6.95232683982684
290,1.7901223823428154,-6.922991543340381
291,1.8156144544482231,-6.92299154334038
292,1.7874450869858265,-6.936363636363638
293,1.7916177175939083,-6.920454545454545
294,1.8049906492233274,-6.9363636363636365
295,1.7992192166857421,-6.936602870813397
