model,RMSE,MAE,MSE,R2,MAPE,Spearman,CCC,CI_0.8_size,CI_0.9_size,CI_0.95_size,n_train,n_test,n_features,early_stop_rmse
Baseline,0.5240748079867464,0.3627372848771196,0.2746544043663452,0.5000614448910211,532.1140839963749,0.6988905549638519,0.6699245539664571,1.134031422023908,1.6562219748458227,2.2626192437263657,10081,2569,2094,0.5467900236521526
PCA,0.5217851632354391,0.359055291703485,0.27225975657263385,0.5044202927338035,517.8528992981677,0.7058667459139667,0.6747408840831812,1.1074957230652418,1.6114345557298637,2.3040063088197207,10081,2569,2053,0.5473725139358437
ADME,0.5031311563843466,0.3489274635715781,0.2531409605246498,0.539221202967536,458.777810711225,0.7283791358785543,0.6965337171369872,1.0845595371553387,1.5721705143433817,2.1773409429694417,10081,2569,2162,0.5578075063211292
Plain,0.5205992549204366,0.35286308429772084,0.27102358422371375,0.506670430391019,683.55237912976,0.7178562976127383,0.6741486397902786,1.0791489803240357,1.6018003578892468,2.3695770312293747,10081,2569,2050,0.5459856907317832
BBB pass,0.4621390163969297,0.3312605927698965,0.21357247047632166,0.4438969129250494,254.62517760495635,0.663094782447236,0.6260185322068327,1.014585522610465,1.449119552989,1.9351049130943339,6838,1765,2094,0.46436300510908357
