stratum,interval_lt_global_n,interval_lt_global_denom,interval_lt_global_fraction,wilson95_low,wilson95_high
Pheno+ MIE+,697,699,0.9971387696709585,0.9896282074932063,0.9992149964437791
Pheno+ MIE-,402,528,0.7613636363636364,0.7232005844266134,0.7957510606971097
Pheno- MIE+,281,547,0.5137111517367459,0.47187648168174773,0.5553545840991646
Pheno- MIE-,170,759,0.22397891963109354,0.19575127179216634,0.2549864992674347
Overall held-out test set,1550,2533,0.6119226213975523,0.5927893045316138,0.6307169764890307
