model,evaluation_domain,n_train,n_calibration,n_test,n_features,model_file,RMSE,MAE,MSE,R2,Spearman,CCC,CI_0.80_size,CI_0.80_coverage,CI_0.90_size,CI_0.90_coverage,CI_0.95_size,CI_0.95_coverage,split_index,seed
ADME,full_test,8173,1913,2564,2161,results/models/split_13/adme/model.cbm,0.4915759531258767,0.3483513760609863,0.24164691769161414,0.561157238565383,0.7103756193368355,0.7069291726498731,1.0780879851555971,0.8073322932917316,1.5130747081372846,0.9079563182527302,2.0043763261311804,0.9524180967238689,13,55
BBB pass,bbb_pass_test,5605,1301,1697,2093,results/models/split_13/bbb_pass/model.cbm,0.4262596975547168,0.3096842201240213,0.18169732975943864,0.4762755076460399,0.6765907381747798,0.6457340131498355,1.032237440175063,0.8202710665880967,1.4485453753580586,0.920447849145551,1.919966281609782,0.9605185621685327,13,55
Baseline,full_test,8173,1913,2564,2093,results/models/split_13/baseline/model.cbm,0.5030900375769465,0.36136973384706156,0.2530995859091735,0.5403586262991913,0.6969659362001397,0.6956217155832871,1.1286260106764743,0.8022620904836193,1.619425565639965,0.9102964118564743,2.205924882241291,0.9570982839313572,13,55
PCA,full_test,8173,1913,2564,2053,results/models/split_13/pca/model.cbm,0.5017856662817849,0.36149638515816074,0.25178885488585484,0.5427389787045351,0.6975684738338862,0.7021244337303211,1.1287770412371492,0.8038221528861155,1.5575481359006176,0.9005460218408736,2.1152098034311533,0.9570982839313572,13,55
Plain,bbb_pass_test,8173,1913,1697,2050,results/models/split_13/plain/model.cbm,0.4254408757205478,0.3101425040526673,0.18099993873386658,0.4782856679567252,0.6671739277056121,0.6457517442722098,1.1051425415665364,0.8509133765468474,1.568981631285608,0.939304655274013,2.0965297705810446,0.9723040659988215,13,55
Plain,full_test,8173,1913,2564,2050,results/models/split_13/plain/model.cbm,0.4985902202352935,0.3533669622569758,0.24859220771427848,0.5485442481675498,0.7117357286248098,0.7000219536133493,1.1051425415665364,0.8108424336973479,1.5689816312856077,0.9083463338533542,2.096529770581044,0.9535881435257411,13,55
ADME,full_test,8255,1948,2447,2161,results/models/split_14/adme/model.cbm,0.5077898968661553,0.3574169090335021,0.2578505793593406,0.49801034250667175,0.6994461766096077,0.6539961149636596,1.0866693698010967,0.8071107478545158,1.6092812516844361,0.9088680016346546,2.2622641551150586,0.9570903146710258,14,56
BBB pass,bbb_pass_test,5631,1314,1658,2093,results/models/split_14/bbb_pass/model.cbm,0.46429734665493533,0.3319262787959303,0.21557202611081316,0.44761484637509896,0.656076209060524,0.6182617994410745,1.006017071800069,0.7925211097708083,1.4483188568789942,0.8992762364294331,1.9640049928079364,0.9565741857659831,14,56
Baseline,full_test,8255,1948,2447,2093,results/models/split_14/baseline/model.cbm,0.5124805091841941,0.3673536542916364,0.26263627229369085,0.4886934413658959,0.6840763242183583,0.6667274808521119,1.156102388545259,0.8042501021659174,1.7325571701833604,0.9174499387004496,2.3950786212002253,0.9681242337556192,14,56
PCA,full_test,8255,1948,2447,2053,results/models/split_14/pca/model.cbm,0.5048972551870127,0.362404748078363,0.25492123829537944,0.503713253553188,0.6960551114457136,0.6720618294037072,1.1073519902246218,0.7911728647323253,1.6428147208942463,0.9105026563138537,2.3526978659741684,0.9681242337556192,14,56
Plain,bbb_pass_test,8255,1948,1658,2050,results/models/split_14/plain/model.cbm,0.45643799923874845,0.33077524458485236,0.2083356471490717,0.4661574577546236,0.6762826429667949,0.637128040435145,1.0966715387066968,0.830518697225573,1.6329354160865217,0.9306393244873341,2.2328491796798975,0.9728588661037394,14,56
