group,Baseline,PCA,ADME,Plain,BBB pass
Fingerprints,0.26748177469014967,0.2720412863083263,0.09014224416868127,0.26601824703079,0.2212296064470576
Proteins,0.09039095481322533,0.03452364908964512,0.04780803093240395,,0.06816917148606388
PhysChem,0.18478815106368224,0.2279086077879964,0.13951677156120953,0.23753687820672895,0.15614281745904257
ADME,,,0.24620708198223262,,
