model,evaluation_domain,n_splits,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,MSE_std,R2_mean,R2_std,Spearman_mean,Spearman_std,CCC_mean,CCC_std,CI_0.80_size_mean,CI_0.80_size_std,CI_0.90_size_mean,CI_0.90_size_std,CI_0.95_size_mean,CI_0.95_size_std,CI_0.80_coverage_mean,CI_0.80_coverage_std,CI_0.90_coverage_mean,CI_0.90_coverage_std,CI_0.95_coverage_mean,CI_0.95_coverage_std,n_train_mean,n_train_std,n_calibration_mean,n_calibration_std,n_test_mean,n_test_std,n_test_min,n_test_max
ADME,full_test,30,0.5143586051238319,0.017398118696475527,0.3563413341971274,0.009643600136287253,0.2648573793813048,0.017891609217018916,0.5063477000038458,0.022498074165584768,0.7007194427268573,0.012489914299868355,0.6619211027336074,0.019596613332856592,1.0654283958250088,0.04005615144507424,1.5447209095357153,0.06723476635267922,2.1230882266173143,0.09855557098134378,0.797377151308531,0.01937115194950812,0.8978893830097376,0.012529900106326833,0.9503238564019786,0.007892341610685043,8094.766666666666,95.83883142649123,2028.3666666666666,58.41202245955957,2526.866666666667,59.75278572835622,2413,2667
BBB pass,bbb_pass_test,30,0.4652162356007835,0.016506740428124965,0.32832866747162365,0.009079696333395984,0.21668953593013987,0.015425583442452104,0.42904419306957087,0.025125252345582678,0.6516404839882534,0.017421891603492008,0.6028561899521294,0.019263059222148174,0.9996280978081729,0.03709596481016555,1.4235704298988154,0.06710669757618519,1.9152334275911123,0.10105388398649384,0.7996538122642944,0.017425242302604192,0.8989916041104021,0.01651441856446027,0.9512247245116365,0.01142063518376791,5506.566666666667,62.71373568587794,1378.5333333333333,46.93482886854431,1717.9,43.38389181442252,1645,1792
Baseline,full_test,30,0.5264325145697428,0.018115259461841157,0.36754652668871657,0.010385696640038118,0.27744841626741334,0.019080754754094063,0.4828862088510767,0.024330238968423342,0.6828803408079726,0.013530708161822839,0.6533994699744029,0.02005802890399863,1.11332620709143,0.03662500822592659,1.601828976318963,0.05801098751233877,2.1735897486193867,0.09507557361679912,0.7981881442378057,0.01774900911509979,0.8991347636961842,0.013764124762610547,0.9499004315566544,0.009186675984175307,8094.766666666666,95.83883142649123,2028.3666666666666,58.41202245955957,2526.866666666667,59.75278572835622,2413,2667
PCA,full_test,30,0.5216249140213263,0.01815726203605986,0.3634142326128737,0.00951869322782202,0.2724112475535806,0.019026641831619753,0.4922483666844341,0.025057237761081805,0.6889211425405345,0.014563100884709489,0.6599314908699621,0.02063266907147226,1.1010194335793235,0.03941969742183088,1.5818322522864716,0.06551291995417204,2.1518685502261237,0.10423717257839114,0.7998940377525499,0.017201285356982735,0.8988394277240855,0.013482228647039757,0.9503284119569583,0.009115913831527144,8094.766666666666,95.83883142649123,2028.3666666666666,58.41202245955957,2526.866666666667,59.75278572835622,2413,2667
Plain,bbb_pass_test,30,0.4552111191056503,0.016086278014767114,0.32174569899679334,0.009403548165651573,0.2074673056864413,0.014792013822578194,0.4533435164932795,0.0238163246485219,0.6661941656350556,0.017307940082680415,0.624275917735541,0.017609771806311944,1.0791397692997295,0.040570708054469065,1.562567345653833,0.06038708870677195,2.121134597281165,0.07870900122212846,0.8311418677443502,0.017447066928479516,0.9236971453129728,0.012291720517693581,0.9659830289534912,0.007150468002727063,8094.766666666666,95.83883142649123,2028.3666666666666,58.41202245955957,1717.9,43.38389181442252,1645,1792
Plain,full_test,30,0.5144551964825268,0.01682264377993447,0.3570194433202991,0.009519310967270055,0.2649377171534968,0.017332002581697925,0.5061245134991215,0.022539672653204494,0.701011903107519,0.014177909062951029,0.6653245940587117,0.018272087865737228,1.0791397692997293,0.04057070805446905,1.5625673456538327,0.060387088706771924,2.121134597281165,0.07870900122212855,0.7998811684451016,0.01887363662666958,0.9008279675207175,0.012996793534436196,0.9505529492868122,0.008116416198330399,8094.766666666666,95.83883142649123,2028.3666666666666,58.41202245955957,2526.866666666667,59.75278572835622,2413,2667
