split_index,seed,query_set,reference_set,ligand_id,nearest_ligand_id,max_tanimoto_similarity
0,42,val,train,8,64,0.5142857142857142
0,42,val,train,11,64,0.375
0,42,val,train,23,6097,0.5
0,42,val,train,31,37,0.6458333333333334
0,42,val,train,35,7077,0.4745762711864407
0,42,val,train,51,8288,0.5428571428571428
0,42,val,train,57,7714,0.4411764705882353
0,42,val,train,65,25,0.28125
0,42,val,train,81,6189,0.36
0,42,val,train,98,4057,0.48333333333333334
0,42,val,train,109,492,0.46511627906976744
0,42,val,train,114,12864,0.6262626262626263
0,42,val,train,116,9742,0.19047619047619047
0,42,val,train,122,3540,0.6304347826086957
0,42,val,train,142,872,0.5365853658536586
0,42,val,train,144,7483,0.5
0,42,val,train,179,12190,0.5641025641025641
0,42,val,train,182,7139,0.7142857142857143
0,42,val,train,184,8223,0.5714285714285714
0,42,val,train,202,5616,0.5238095238095238
0,42,val,train,204,5341,0.5079365079365079
0,42,val,train,208,1764,0.5384615384615384
0,42,val,train,218,6800,0.6470588235294118
0,42,val,train,219,5259,0.5102040816326531
0,42,val,train,226,13835,0.6
0,42,val,train,230,1531,0.6216216216216216
0,42,val,train,233,1129,0.5263157894736842
0,42,val,train,236,70,0.5925925925925926
0,42,val,train,249,3036,0.6521739130434783
0,42,val,train,260,1744,0.5
0,42,val,train,268,3042,0.5
0,42,val,train,269,2784,0.6
0,42,val,train,270,399,0.4583333333333333
0,42,val,train,288,8702,0.5217391304347826
0,42,val,train,300,5616,0.71875
0,42,val,train,312,272,0.6666666666666666
0,42,val,train,321,359,0.4166666666666667
0,42,val,train,324,860,0.42857142857142855
0,42,val,train,332,6062,0.3888888888888889
0,42,val,train,340,416,0.45348837209302323
0,42,val,train,348,16411,0.32142857142857145
0,42,val,train,370,189,0.5576923076923077
0,42,val,train,403,165,0.47058823529411764
0,42,val,train,410,10009,0.6
0,42,val,train,418,12190,0.6176470588235294
0,42,val,train,427,9045,0.576271186440678
0,42,val,train,428,12239,0.47761194029850745
0,42,val,train,456,15224,0.691358024691358
0,42,val,train,466,407,0.4358974358974359
0,42,val,train,468,7563,0.5074626865671642
0,42,val,train,495,672,0.6216216216216216
0,42,val,train,498,672,0.525
0,42,val,train,502,8938,0.575
0,42,val,train,511,3042,0.8333333333333334
0,42,val,train,515,8203,0.7254901960784313
0,42,val,train,519,13040,0.62
0,42,val,train,525,3247,0.5416666666666666
0,42,val,train,526,4122,0.5526315789473685
0,42,val,train,528,15174,0.375
0,42,val,train,531,969,0.5
0,42,val,train,544,8428,0.4897959183673469
0,42,val,train,554,730,0.425
0,42,val,train,597,200,0.7230769230769231
0,42,val,train,600,416,0.5714285714285714
0,42,val,train,604,200,0.5714285714285714
0,42,val,train,614,4393,0.4827586206896552
0,42,val,train,621,6836,0.36666666666666664
0,42,val,train,626,653,0.36507936507936506
0,42,val,train,655,2552,0.3076923076923077
0,42,val,train,659,7210,0.6428571428571429
0,42,val,train,660,5040,0.44680851063829785
0,42,val,train,670,1924,0.40816326530612246
0,42,val,train,676,6097,0.6376811594202898
0,42,val,train,683,423,0.4074074074074074
0,42,val,train,689,596,0.5063291139240507
0,42,val,train,701,4033,0.5
0,42,val,train,710,1390,0.6086956521739131
0,42,val,train,721,4057,0.4603174603174603
0,42,val,train,722,864,0.35714285714285715
0,42,val,train,744,6916,0.6274509803921569
0,42,val,train,753,2801,0.5303030303030303
0,42,val,train,754,12053,0.6136363636363636
0,42,val,train,766,767,0.5294117647058824
0,42,val,train,768,767,0.7419354838709677
0,42,val,train,769,767,0.7258064516129032
0,42,val,train,772,1159,0.5740740740740741
0,42,val,train,783,5670,0.43636363636363634
0,42,val,train,786,5235,0.6206896551724138
0,42,val,train,807,11307,0.36363636363636365
0,42,val,train,811,5088,0.6486486486486487
0,42,val,train,825,2153,0.46153846153846156
0,42,val,train,832,1536,0.6363636363636364
0,42,val,train,837,860,0.3
0,42,val,train,848,3776,0.6153846153846154
0,42,val,train,850,849,0.5833333333333334
0,42,val,train,851,849,0.5384615384615384
0,42,val,train,893,2754,0.3333333333333333
0,42,val,train,896,1001,0.7391304347826086
0,42,val,train,897,2010,0.2894736842105263
0,42,val,train,908,1537,0.5277777777777778
0,42,val,train,916,2114,0.39285714285714285
0,42,val,train,921,6379,0.6363636363636364
0,42,val,train,930,6738,0.2571428571428571
0,42,val,train,931,1916,0.6
0,42,val,train,937,6607,0.5555555555555556
0,42,val,train,938,70,0.5625
0,42,val,train,948,2699,0.4827586206896552
0,42,val,train,950,345,0.4393939393939394
0,42,val,train,956,3624,0.4666666666666667
0,42,val,train,965,9,0.43243243243243246
0,42,val,train,984,2159,0.47619047619047616
0,42,val,train,994,2945,0.2926829268292683
0,42,val,train,1015,1008,0.5185185185185185
0,42,val,train,1021,13404,0.4166666666666667
0,42,val,train,1025,1873,0.5
0,42,val,train,1027,394,0.6111111111111112
0,42,val,train,1035,1754,0.45454545454545453
0,42,val,train,1036,3298,0.6842105263157895
0,42,val,train,1040,13001,0.48148148148148145
0,42,val,train,1043,966,0.5666666666666667
0,42,val,train,1044,16411,0.4583333333333333
0,42,val,train,1056,1747,0.56
0,42,val,train,1062,1991,0.6153846153846154
0,42,val,train,1071,15443,0.375
0,42,val,train,1075,469,0.5
0,42,val,train,1081,1085,0.6153846153846154
0,42,val,train,1082,1074,0.6842105263157895
0,42,val,train,1083,806,0.38461538461538464
0,42,val,train,1084,15193,0.47058823529411764
0,42,val,train,1087,1085,0.6153846153846154
0,42,val,train,1090,15672,0.5263157894736842
0,42,val,train,1094,1074,0.6190476190476191
0,42,val,train,1095,1092,0.5416666666666666
0,42,val,train,1100,15708,0.6052631578947368
0,42,val,train,1102,863,0.375
0,42,val,train,1112,2539,0.39285714285714285
0,42,val,train,1125,1010,0.6296296296296297
0,42,val,train,1126,8707,0.625
0,42,val,train,1127,7810,0.5652173913043478
0,42,val,train,1135,1725,0.3684210526315789
0,42,val,train,1137,469,0.5555555555555556
0,42,val,train,1147,872,0.5454545454545454
0,42,val,train,1151,11211,0.47058823529411764
0,42,val,train,1153,2754,0.375
0,42,val,train,1169,9556,0.5882352941176471
0,42,val,train,1170,1452,0.42857142857142855
0,42,val,train,1175,12053,0.5625
0,42,val,train,1183,67,0.43333333333333335
0,42,val,train,1188,2017,0.38461538461538464
0,42,val,train,1189,6964,0.5833333333333334
0,42,val,train,1190,4759,0.49056603773584906
