calibration_mode,is_global_fallback,n_molecules,n_butina_clusters,local_covered_count,local_empirical_coverage,local_wilson95_low,local_wilson95_high,global_empirical_coverage,mean_interval_width,median_interval_width,width_p10,width_p90,mean_local_neff,median_local_neff,coverage_difference_vs_localized,mean_width_difference_vs_localized
Localized calibration,0,2519,1630,2250,0.8932115919015482,0.8805464618290154,0.904679257795087,0.9003572846367606,1.5144433979717982,1.5141167304028107,1.2092784498491262,1.8131798015724288,550.3542780640257,563.6823175501735,0.0,0.0
Global fallback,1,14,14,9,0.6428571428571429,0.387644231039074,0.8365526824644587,0.6428571428571429,1.5730193398395644,1.573019339839564,1.573019339839564,1.573019339839564,51.84576972784033,55.74285415444611,-0.2503544490444053,0.05857594186776627
