split_index,seed,n_model_train,n_calibration,n_test,plain_test_rmse,plain_test_mae,plain_test_mse,plain_test_r2,plain_test_spearman,plain_test_ccc,global_interval_width,global_test_coverage,local_test_coverage,local_test_mean_width,local_test_median_width,local_test_width_p10,local_test_width_p90,local_test_min_width,local_test_max_width,local_test_mean_neff,local_width_below_global_count,local_width_below_global_fraction,fallback_fraction,map_min_width,map_max_width,map_width_p10,map_width_p90,map_displayed_grid_fraction
0,42,8038,2079,2533,0.5206823546912408,0.36328037984346845,0.27111011448681505,0.5058257438727204,0.6924568832641549,0.6569582919436987,1.573019339839564,0.8989340702724042,0.8918278720884327,1.51476714972314,1.5185550321594645,1.2092784498491262,1.8131798015724288,1.1160619335666446,2.2514039199332343,547.5990000866447,1550,0.6119226213975523,0.005527043031977891,1.19704743522537,1.881284914142709,1.294181261802529,1.8124311682880536,0.95328125
1,43,8125,1956,2569,0.5420695219797876,0.3710202343456799,0.2938393666593955,0.46514009582059246,0.6884499803876408,0.6209726613305561,1.5834750849905355,0.8987933047878552,0.8960685091475282,1.523148086642353,1.5569442020622324,1.1069486841837541,1.809939863629574,1.0180298094074178,2.3731534869004838,520.5351764561664,1373,0.5344492020241339,0.011288439081354613,1.0984518670663717,2.192592215903768,1.2299361195814058,1.9285977699985086,0.95328125
2,44,8162,1997,2491,0.5777086093831367,0.3909110873033654,0.33374723735539763,0.4424819069659487,0.6690032944600184,0.5984076966483418,1.549207460003462,0.8755519871537535,0.8643115214773184,1.4589704256423437,1.4174359468210538,1.2029016078631312,1.7900255244674508,1.0794614551503594,2.8953824823896817,529.6710456366662,1662,0.6672019269369731,0.009634684865515858,1.1836963007553658,2.055972336788244,1.2459134609315616,1.8140135729321423,0.95328125
3,45,7954,2082,2614,0.5323768074161949,0.3727736891068675,0.28342506507466025,0.44137537746143995,0.6542639195160074,0.5952650805824926,1.7118422490822613,0.9066564651874521,0.9028309104820199,1.5941812194455016,1.6271073885244691,1.1746209220278612,1.920379064808114,1.116363268081531,2.5666172816626385,553.2053597238836,1775,0.6790359602142311,0.008416220351951033,1.1597448278829046,2.0423635850458504,1.3316615141582084,1.9133244713818782,0.95328125
4,46,8251,1957,2442,0.5272498629435288,0.37012794410922456,0.2779924179739699,0.45219770185512653,0.6565320029344992,0.6010608356989275,1.6067263250431818,0.9000819000819,0.8947583947583948,1.5301140352199047,1.4843951980572347,1.2620784677740735,1.9152801284322623,1.0980965760985884,3.0386966913333655,515.9819454862536,1726,0.7067977067977068,0.013923013923013924,1.2315133727372365,2.15887825578515,1.3193018169604047,1.9579554467799083,0.95328125
5,47,7964,2113,2573,0.5606505877098231,0.37897880790691013,0.31432908149937006,0.45546235414672986,0.6811364308184208,0.6036959717826629,1.5235430759951267,0.8841818888457054,0.885736494364555,1.4644388976339189,1.4529249024278146,1.1512571995212806,1.824378992820355,1.0289979183012772,2.7465988065335067,575.6981660056764,1673,0.6502137582588419,0.008550330353672756,1.1243794712023494,2.102671937092679,1.2302755178586946,1.9646674557393489,0.95328125
6,48,8194,1997,2459,0.521938257536904,0.3654164587695144,0.2724195446806596,0.47164864172737486,0.6614635040154326,0.6248083212370928,1.5390311834335968,0.8946726311508744,0.8853192354615698,1.47269223383002,1.5390311834335968,1.0434752548350446,1.740788767649586,0.9347955068556315,2.2569031867972758,521.8530474913152,1227,0.49898332655551036,0.012606750711671411,0.970341814590214,1.9237957393195524,1.1977688350319764,1.8120822175361735,0.95328125
7,49,7928,2117,2605,0.5570679350964259,0.3844045064382812,0.3103246843125958,0.46754871133282583,0.6696243382292928,0.6191254706937384,1.6401191065247867,0.8932821497120921,0.8836852207293666,1.52612945420118,1.5246480720729583,1.2381233122518687,1.8107895839319186,1.1277285503549592,2.887696174601718,563.0291641380677,1810,0.6948176583493282,0.004606525911708253,1.2102499194111969,2.1528996078418574,1.3216906934765729,1.9522973460700732,0.95328125
8,50,8166,2024,2460,0.4883670568655289,0.3441929455934242,0.23850238223149875,0.46966260141150296,0.683304263827218,0.6340353902018186,1.7594960644918167,0.9317073170731708,0.9215447154471544,1.641113884893334,1.6800781838309717,1.2189462583866497,1.9385072441915137,1.1356703451573757,2.651780352381121,530.4507365556035,1485,0.6036585365853658,0.01097560975609756,1.1604694799075677,2.308916302447116,1.320249511441572,2.1331690501717135,0.95328125
9,51,8039,2093,2518,0.5417581649235921,0.37245630606802166,0.293501909261378,0.46900069759915974,0.6826492743213276,0.617547896913078,1.5928645218028237,0.8935663224781573,0.8947577442414615,1.5616196080148068,1.584015836857164,1.1768786350083076,1.918211951523186,1.0116736967033315,2.869587524199098,548.4932862875422,1299,0.5158856235107228,0.005559968228752979,1.1146217888024208,2.3443608304582577,1.269827909387237,1.9231499966564238,0.95328125
10,52,8172,1997,2481,0.5168965452292914,0.3636138612121049,0.2671820384699769,0.4503391178143199,0.6635665180237685,0.6051357026939883,1.535946779724643,0.8883514711809755,0.8903667875856509,1.510688971304796,1.535946779724643,1.159816034731885,1.7716024716795635,1.0615803179810461,2.401531076641251,525.7547837162649,1213,0.4889157597742846,0.018137847642079808,1.0758862372521085,1.904341472867887,1.267209376802309,1.7648146983521098,0.95328125
11,53,8085,2042,2523,0.5570674228867014,0.378022625366082,0.310324113641631,0.459967238114354,0.6884964031545201,0.6081621334136209,1.5398050095990135,0.8866428854538249,0.8866428854538249,1.5096145558617324,1.504578013443579,1.1391058862604586,1.969106111911592,1.0489090288943093,2.975732587639497,542.9757421509152,1596,0.6325802615933412,0.013079667063020214,1.1266797921836327,2.367689722138408,1.2428611300940946,2.0474977649692767,0.95328125
12,54,7980,2155,2515,0.533446624343677,0.3628464918859246,0.284565301023664,0.47333512682799617,0.6872328225308294,0.6184611880421669,1.6718534772608642,0.9021868787276341,0.8970178926441352,1.5723482216275642,1.5709354142019265,1.1545152394225715,1.9130162395877148,1.0416019942685688,2.980035669821189,542.8175353861528,1694,0.673558648111332,0.02584493041749503,1.0986754191693762,2.527425569968479,1.307213288624601,2.222965129820551,0.95328125
13,55,8173,1913,2564,0.5171290382671807,0.36829204221223605,0.2674224422191393,0.5143476104139482,0.6907985460492279,0.6550736573628769,1.5992433398783588,0.9048361934477379,0.8935257410296412,1.485685068464691,1.508906276432639,1.1206382627786322,1.8283191382779247,1.0418732462706757,2.5001652284436027,496.93050081815795,1578,0.6154446177847114,0.008970358814352574,1.1271694708247464,2.059908310573645,1.1902569999257897,1.8955526930103566,0.95328125
14,56,8255,1948,2447,0.520121079062875,0.37322930801003884,0.2705259368855294,0.4733336541742802,0.6749471089941899,0.6304690770024567,1.6890749287976936,0.9043727012668574,0.8961994278708623,1.5962421952918255,1.5797854031846192,1.2208163340751224,1.9623945269214706,1.0317688485687313,3.205103704397775,501.9328396350687,1456,0.595014303228443,0.007764609726195341,1.1042942668360005,2.1263579932515198,1.2971960916227083,1.9691584790243706,0.95328125
15,57,8064,2066,2520,0.5336492901196316,0.3651115798508573,0.28478156484518674,0.4716374528839621,0.6871389489594596,0.6176839765864568,1.64570013037324,0.9083333333333333,0.898015873015873,1.561620255956621,1.5795058485905997,1.2595134675797253,1.874574620918497,1.0827594635099258,2.301420614382372,549.1306098577899,1481,0.5876984126984127,0.005952380952380952,1.1654868601017812,2.0355447174684356,1.3169233686494093,1.9361283844300765,0.95328125
