method_key,method,nominal_coverage,covered_count,n_test,empirical_coverage,wilson95_low,wilson95_high,cluster_bootstrap95_low,cluster_bootstrap95_high,cluster_bootstrap_resamples,cluster_bootstrap_seed,mean_width,median_width,width_p10,width_p90,fallback_count,fallback_fraction
global_split_conformal,Global split conformal,0.9,2277,2533,0.8989340702724042,0.8865852485958186,0.910074705447784,0.882932354882101,0.9137263160378472,5000,20260915,1.5730193398395642,1.573019339839564,1.573019339839564,1.573019339839564,,
local_joint,Localized phenotype/MIE-proxy,0.9,2259,2533,0.8918278720884327,0.8791335104081035,0.9033355686500614,0.8752326373846867,0.9074075970685966,5000,20260915,1.51476714972314,1.5185550321594643,1.2092784498491262,1.8131798015724288,14.0,0.005527043031977891
