ligand_id,mean_E_44,admet_toxic_burden,local_interval_width_90,local_neff,pred_lgld50_plain
1,-4.1022727272727275,2.0004989062435925,1.8131798015724288,153.0893975527818,3.120977351649111
2,-4.9409090909090905,1.6898550391197205,1.542315547290798,599.9328654729411,3.1035258229723235
3,-6.563636363636366,0.9452578127384185,1.680312929212283,594.8825472066276,2.9909366471552574
4,-6.554545454545456,1.2684063911437988,1.5459758533875387,822.1535575768974,3.3013934084525136
5,-4.336363636363637,1.0000078580217917,1.9230740838505156,154.19607822154765,3.2167154125665163
6,-6.05,1.2857457175850868,1.6540727627010359,653.3037839437844,3.142356792895348
8,-6.984090909090912,1.0804918184876442,1.6730540280557564,647.4823072944027,3.294444687675185
9,-6.699999999999999,0.8553996980190277,1.7214714483925526,544.7840775309792,3.025121108657681
10,-6.6409090909090915,1.3873577415943146,1.6318748155179028,756.5630836731059,3.635750507441396
11,-6.752272727272728,1.1367477998137474,1.6318748155179028,739.1495058035483,3.2467465898420915
12,-7.1636363636363605,1.32904714345932,1.5141167304028107,529.7070713717684,3.4303417517371426
13,-6.638636363636365,1.639151334762573,1.5646131694018965,821.7493422871613,3.7971033399116787
14,-8.095348837209302,1.0501312427222729,1.7492789400898525,448.5245855222265,3.5904995491718648
15,-7.629545454545453,1.4264211356639862,1.513336576712657,600.7465728883833,3.4349235128269107
16,-7.122727272727272,1.1398030519485474,1.5113432603843924,645.2246210129996,4.620223599455937
18,-8.22142857142857,1.1674968712031841,1.515101988244651,514.4716860467935,4.624671041741247
19,-8.16046511627907,0.5515638701617717,1.7138432464539113,261.0275241785585,2.6766487264361145
20,-8.490000000000002,0.7519951108843088,1.8883949550949826,277.30005135872403,5.133387532588891
21,-8.092857142857142,0.2015610486268996,1.7269253495942092,120.04028267070807,3.6995400368716367
22,-5.742499999999999,1.0525866858661173,1.7507458054408032,366.9306053577213,3.861284159246554
23,-8.206666666666663,2.474189817905426,1.2090772052033092,592.2565583928246,4.414223616495183
24,-6.457575757575757,1.103218462318182,1.6540727627010359,695.9555841932774,4.330807581911778
25,-6.85813953488372,0.2906885817646979,1.8129568521977868,203.55819533453433,3.7348925067870913
26,-7.787804878048778,1.6181667149066923,1.5681504733607277,662.3894646644025,3.989755470436239
27,-6.936585365853658,0.1941774943843482,1.9044425023953861,152.42463368239962,3.439095212996218
28,-7.320930232558137,2.2723009288311005,1.3572243289014123,932.3047769675765,3.8652519783351074
29,-8.144186046511626,1.667167067527771,1.4191416199083706,736.6678903238628,3.565848891566946
30,-7.060465116279071,0.2374662961810825,1.8298969028302885,171.6176485683439,3.5766693982944298
31,-8.54418604651163,1.8280484080314636,1.4588843610140838,671.8236702626995,4.215600739751204
32,-9.234883720930233,1.2573497965931892,1.5274931188359284,84.09970708413069,3.9710440773248967
33,-7.96046511627907,1.9219153225421906,1.3906296536539902,798.3386785448134,3.9243913227654765
34,-7.576744186046512,0.4141302108764647,1.8273954780683273,188.84982317885482,3.582959286124147
35,-8.506976744186046,1.3407395780086517,1.8443313312389389,285.76221398234304,4.043347565008216
36,-7.483720930232559,1.2435720898211002,1.551251674705174,540.0859611924116,3.6435364590215658
37,-9.627906976744185,1.7635696232318878,1.5441412795467189,359.4677885053154,3.996777201678678
39,-7.451162790697674,1.0801668670028448,1.9784197942617947,250.144682194939,3.2608024604837618
40,-7.909302325581394,1.7602559477090836,1.488754515071709,673.5136976078792,3.7176265633964096
41,-8.081818181818178,1.8467058539390564,1.4401450849316166,653.6055760132524,3.9977583120253852
42,-8.76046511627907,1.190288007259369,1.5113432603843924,430.93246889443424,3.2859469041877833
43,-8.756818181818183,1.0663523636758327,1.9488795127391487,246.75684139623934,2.9784948650062213
44,-6.604545454545454,0.5681231785565615,1.73530459682667,287.1890667382729,3.490327213698966
45,-8.241860465116279,1.0098018050193787,1.662879580379638,246.03439253868817,3.605701072444508
46,-7.776744186046511,1.3125272076576948,1.5441412795467189,709.0423403068494,3.61642033046451
47,-5.581818181818182,1.1280441507697105,1.7326883066559482,341.1905251355872,3.3326046416815807
48,-7.777272727272728,1.2461851984262464,1.488754515071709,667.7092613572727,3.7511908512773964
49,-7.745454545454547,0.9171938505023716,1.7214714483925526,474.6635712688567,3.5328289380739872
50,-8.372727272727273,1.1695063114166258,1.8443313312389389,339.9426894507997,3.3342167874566684
51,-5.388636363636364,1.754418432712555,1.5185550321594645,703.7246987387311,3.1076139014360185
52,-7.679545454545453,1.2032595947384834,1.9784197942617947,144.65422803807024,3.6389775381748337
53,-7.724999999999998,1.1103735417127607,1.7867504335526423,251.5793786106225,3.6100338639407066
54,-5.59318181818182,1.0786096788942814,1.7326883066559482,353.3750328435522,3.2965481248111126
55,-7.675000000000001,1.7455413043498993,1.4455475250834837,817.6274054881061,3.7593494325513706
56,-6.488636363636362,1.734076701104641,1.5299327072195403,760.717361835565,3.2063915687129594
57,-7.443181818181819,1.4043906219303606,1.646924957258241,691.1824178490298,3.2767190672129445
58,-4.970454545454546,1.4204004257917404,1.6759283537413951,506.67550510826624,4.881412149262213
59,-6.093181818181816,0.5455553289502858,1.7530699467469493,326.09324084558193,2.5775568050556905
60,-6.340909090909091,0.6430411040782927,1.8298969028302885,331.0425779100753,3.2972090991171723
62,-6.211363636363638,1.4777760654687881,1.5689224618366984,796.2516129796446,3.569663621185989
63,-4.622727272727273,0.104141400195658,1.9044425023953861,86.66095203985365,2.389683262841192
64,-6.968181818181819,0.9920700639486313,1.6777479576792285,590.9516503134533,3.0129699128453886
65,-5.463636363636363,0.6868633627891538,1.8131798015724288,308.4854602624606,2.7563190424884443
66,-5.725,1.4413584843277931,1.5299327072195403,654.8684207163393,3.506965024397508
67,-6.056818181818183,0.9967144895344972,1.6777479576792285,547.4330155772127,2.6349582298327445
68,-6.7250000000000005,1.5737966448068619,1.5141167304028107,844.8978366806167,3.2646779402606794
69,-4.461363636363636,0.8521774988621473,1.7955469042802692,284.25309339376497,2.208408600523102
70,-6.3045454545454565,0.9514163536950946,1.7867504335526423,348.4034651713924,3.1868721691192246
71,-3.4681818181818183,0.2454613242298363,1.573019339839564,32.27470545712078,2.4956287006063906
72,-8.019047619047617,1.8402287065982819,1.44293617728209,827.9290959745796,3.7301242788329985
73,-7.437209302325583,0.23153080046176888,1.73530459682667,150.03911788694217,3.160925752249347
74,-6.276190476190475,1.1353320814669132,1.7724057709507868,365.17084142223206,3.819404156059367
75,-5.822727272727272,1.3051032721996307,1.6540727627010359,576.9305487917062,3.42533529787871
76,-7.351162790697677,0.0691866632550953,1.8129568521977868,118.26480794561562,2.8816822026044147
77,-4.588636363636364,0.6793425753712654,1.7955469042802692,200.8246407028649,2.83808744454501
78,-4.659090909090909,1.2629169560968876,1.7326883066559482,409.9748811010975,2.2811110178103764
79,-8.429545454545455,2.725892961025238,1.2090772052033092,498.9070916085736,3.8901569005209047
80,-7.995454545454546,2.2808982133865356,1.3021203170186038,785.5430644064061,3.645653873365423
81,-9.027906976744186,2.7613459825515747,1.1863532285110026,337.1492218418321,3.8468271183042235
82,-8.281395348837208,2.985348641872406,1.1729570889857834,400.1912281041957,4.064997979390855
83,-7.056818181818183,1.4910161048173904,1.513336576712657,908.48039519723,3.446603981482082
84,-6.5249999999999995,1.7190401628613472,1.5930622848343825,740.333432040866,4.427627721118643
85,-8.54090909090909,1.5804499387741089,1.488754515071709,655.2581749931929,3.80879177530999
86,-7.763636363636363,2.8181408047676086,1.1729570889857834,526.5840851860439,4.3095138253629806
88,-8.965116279069766,2.995322585105896,1.1759368581312142,299.82386872558175,4.099828435556192
90,-6.5704545454545435,0.9449080787599086,2.1057129513013955,190.74853112786255,2.6543818696196437
91,-9.611627906976743,2.7197332978248596,1.2581840168578724,307.3456719917872,4.240144446562478
92,-4.963636363636362,1.9824381250655279,1.731929551205205,299.2439711290181,3.5588144843419673
93,-8.270454545454545,1.380692332983017,1.488754515071709,383.9447498978195,3.1851897897063077
94,-6.313636363636365,2.5753740072250366,1.347488921975212,695.0839718886309,4.411872005005975
95,-8.867441860465117,1.6297439932823181,1.3753299702755228,465.5713194042007,3.329563263760953
96,-7.852272727272726,2.53190016746521,1.1863532285110026,601.0416349002738,3.9147121842425805
97,-7.134090909090909,1.69162917137146,1.5113432603843924,920.9678993230413,3.6197395692942607
98,-6.693181818181818,1.133161311969161,1.9021879674776803,274.21108812101636,3.3654390129851173
100,-7.2,0.7767095267772672,1.6993331815095258,403.61619776720215,3.5036545020370333
101,-7.068292682926829,1.6281730234622955,1.5646131694018965,630.2212583466818,4.110360935053695
103,-8.744186046511627,2.7185595631599426,1.2278312446057749,480.1969642801192,3.8520981156612706
104,-6.995454545454547,1.3402667939662933,1.5689224618366984,845.2147683323481,3.4364698977572044
105,-5.1931818181818175,0.9961039572954177,1.7530699467469493,395.54540822867983,2.8902467541150334
106,-9.269047619047617,0.09975650859996661,1.573019339839564,41.36348086578525,3.440037975805987
108,-6.7372093023255815,2.5680476427078247,1.2581840168578724,717.5016025036865,3.9898404418144997
109,-6.999999999999997,0.0016798470824140677,1.8883949550949826,116.00924292025138,3.017868091413335
111,-7.267441860465113,0.28568867826834315,1.73530459682667,221.63474779438673,2.3984565708557994
112,-6.985365853658539,0.1290642099920659,1.8298969028302885,149.06052931695748,2.689151707349691
113,-6.595238095238097,0.0174751028825993,1.9044425023953861,124.61174274912283,2.2766603599629436
114,-7.672093023255812,0.0926957279443739,1.73530459682667,112.79802650522403,2.4850527827413913
115,-7.509523809523813,0.039424618866178096,1.7530699467469493,106.65326727332139,2.1058646636329637
116,-5.740909090909091,1.8102185130119324,1.347488921975212,719.5049043164712,3.489337103689448
118,-7.3046511627907,1.6769682206213474,1.5459758533875387,754.9858264396506,3.3542987533324697
119,-4.661363636363635,1.6011929735541344,1.731929551205205,380.73509200405346,3.333549170583935
121,-7.093181818181819,0.006528345689730316,1.8298969028302885,114.52923492579146,3.2510885806625645
122,-7.90909090909091,2.734187602996826,1.2092784498491262,614.6104233518024,3.825064472573425
123,-3.468181818181819,1.7856375575065613,1.923231677615317,128.08583060800672,3.494286496060649
124,-7.751162790697673,1.6667809635400772,1.4357915334482527,509.4986126337703,3.391989867709694
125,-7.372727272727275,1.8024669289588928,1.4401450849316166,788.7481255287327,3.768633813753664
126,-8.288372093023257,0.1042579953791571,1.7269253495942092,86.51270426347921,2.7181872044962723
127,-7.654545454545455,1.4761232733726501,1.4401450849316166,577.9974136724218,3.742834922459443
128,-8.693181818181815,2.733432710170746,1.2092784498491262,468.0748252297499,3.829099104240184
129,-7.1159090909090885,2.1399628818035126,1.3572243289014123,1003.3004165530452,3.7257599954291827
130,-8.683720930232562,2.722010910511017,1.2278312446057749,492.24493890996007,3.8897347177093136
131,-6.447727272727274,1.154654797166586,2.0365518128883533,187.23741541742805,3.2309731926703447
134,-8.109302325581394,2.288446366786957,1.3276530637912218,795.5979173825132,4.035488286582157
135,-6.297674418604653,0.8527308106422424,1.7269253495942092,358.22324258001225,3.5347284246471475
136,-7.642857142857143,0.1389616206288336,1.73530459682667,115.82319955011226,2.8065763974124445
138,-7.479545454545454,1.7583530992269516,1.488754515071709,760.7524657910521,3.68525569506877
139,-7.917142857142859,1.1541374903172255,1.8919792222016127,275.55570200603984,5.244743445078002
140,-7.147727272727275,2.005693457555026,1.5459758533875387,530.630620917333,3.0358066333317177
141,-6.749999999999999,0.6767712067812681,1.7507458054408032,407.3845152425611,3.916045983859574
142,-8.274999999999999,2.736551582813263,1.1863532285110026,514.4453510233951,4.079671543970861
144,-6.968181818181819,1.5299183577299118,1.5646131694018965,509.2937211303523,3.373211088206622
145,-7.461363636363635,2.192266821861267,1.3276530637912218,949.763137605534,3.6042949766569796
148,-9.29767441860465,2.862163245677948,1.1772893061722725,278.06581162376096,4.036145607774586
149,-8.259090909090908,2.7652575373649597,1.1772893061722725,494.6041073167855,3.8776480137547833
150,-8.290697674418606,1.9409666955471039,1.4382179362633876,689.761352552919,3.6376071867001127
151,-9.190697674418603,2.818434953689575,1.2090772052033092,325.72743320399593,4.116614055462315
152,-7.120454545454546,2.6457324028015137,1.2090772052033092,650.9332526191486,3.934028890857877
153,-7.374999999999999,0.9990978389978407,1.680312929212283,583.2018531443608,4.428658747056468
155,-5.845454545454545,0.34908058121800417,1.8273954780683273,216.26738049930918,2.4008551167367083
157,-7.230769230769229,0.6090744473040103,1.8883949550949826,252.9172975784409,4.534160839288345
158,-8.211363636363636,2.9616896510124207,1.1729570889857834,419.05311805348947,4.017088967196404
159,-8.322727272727276,0.40765593200922,1.7024564414691703,152.63331443062373,3.371284067168427
160,-7.758139534883723,2.4881128668785095,1.3290279614490643,783.8332776112004,3.354873572696099
161,-6.434883720930232,0.39699809998273844,1.8129568521977868,266.33002027677077,2.252401270948729
162,-8.116279069767439,0.13594033475965242,1.7269253495942092,97.88870601645591,2.7365589159374153
163,-9.490697674418602,2.960915446281433,1.1759368581312142,233.32240963933643,3.9847575039545453
164,-7.415384615384617,1.53843167796731,1.5681504733607277,780.5225362057892,5.768467009616419
165,-4.1886363636363635,1.223170693963766,1.8131798015724288,300.6714134739876,2.054810786346378
166,-6.8860465116279075,1.9578072130680084,1.5069057997135982,840.2434907968691,3.5570001713744057
170,-7.455813953488371,0.9775918126106262,1.488754515071709,363.4539024752329,2.776374893858672
171,-4.844736842105263,0.0120834393892436,1.9044425023953861,87.02179139064337,1.9056964983272382
173,-5.946511627906977,0.17385761067271222,1.8883949550949826,161.45482361085473,2.37383276450819
175,-5.895348837209301,0.8574340455234051,1.7507458054408032,373.76584187788535,2.963900339428405
178,-5.3113636363636365,1.2164632119238377,1.6569448191590057,555.6994779712493,2.2194260935623316
179,-5.597727272727272,0.3158755134791135,1.8298969028302885,194.74465018452116,2.8978128953734745
180,-7.561363636363637,1.8436834514141083,1.353685588563586,917.7367028854638,3.6200862140297487
182,-6.669767441860467,0.0442090365686452,1.9044425023953861,126.42411989493759,3.1665093647934093
184,-6.411363636363635,0.017492943676188498,1.9044425023953861,124.40236286221398,2.5913602749210254
189,-8.274418604651162,2.7410300970077515,1.2090772052033092,542.9584701243647,3.9154759237157606
190,-6.029268292682927,1.0276340967975557,1.8036392923030418,301.051391185751,2.304197892891288
194,-7.123255813953489,0.5574585925787686,1.7530699467469493,359.2865324843917,2.608327548901886
195,-9.03953488372093,2.421749234199524,1.3021203170186038,548.117872519103,3.891319962404444
196,-6.347727272727273,2.7993577122688293,1.2581840168578724,554.1593959204139,3.7600102522802388
197,-7.043181818181819,2.8813400268554688,1.1772893061722725,565.0692733730426,3.800552223145517
200,-8.05581395348837,1.3425602987408636,1.6053553579526172,269.3277666266098,3.4214888593668737
201,-7.796666666666667,2.349613904953003,1.3290279614490643,841.8015149662814,5.559969364227728
202,-5.476190476190477,0.38018954358994955,1.8131798015724288,207.78420181883584,2.2686977192456244
203,-6.927906976744185,2.7371124029159546,1.1759368581312142,575.2056304267389,4.2317937452260175
204,-8.438636363636364,2.1801260709762573,1.2649856568655684,500.4885859330168,3.5255647313413485
206,-6.6477272727272725,1.7660068273544312,1.4378027417032833,989.2025919153991,4.0504169949994955
207,-6.072093023255815,0.1720849592238664,1.9021879674776803,164.71955792971852,3.2149432221451297
208,-3.636363636363636,1.194808080792427,2.055339820493733,157.149652119357,2.4877908042468664
210,-4.8999999999999995,1.251571774482727,1.6852788566338086,438.8971784479514,2.6098007063830626
211,-8.356818181818182,1.5938147008419037,1.513336576712657,667.3280124308076,3.152511786522592
213,-8.525000000000002,1.9923393428325653,1.3276530637912218,587.5673520577863,3.526328798028087
215,-3.76818181818182,2.003873161971569,1.7867504335526423,124.66376796661899,3.5403818163722787
216,-4.013636363636364,1.877031589858234,1.8245068735309955,166.93796452538922,2.9736524264026385
217,-7.937209302325583,2.4117012917995453,1.349051843642859,753.0109809207795,3.0249154944757057
218,-7.684090909090907,1.8089502602815628,1.5113432603843924,793.9059444044764,3.0941208257112587
219,-8.188372093023254,2.933998823165893,1.1729570889857834,430.9038782907805,3.8834926694871257
221,-8.553488372093023,0.0889154026517643,1.573019339839564,73.69737609088276,2.4801935712079075
222,-8.82325581395349,2.738943099975586,1.1863532285110026,358.26357291468037,4.105287401916062
225,-6.452272727272728,1.004285369068384,1.7492789400898525,385.58488968048727,3.3359040924774597
226,-6.623076923076922,0.0858876202255485,1.9044425023953861,133.72175675200577,3.233249415249033
227,-7.941860465116278,2.431178241968155,1.3249692334194494,774.3112312033347,3.205516267387999
228,-7.406818181818184,1.8574621975421906,1.4793215315832757,873.5378658463006,3.9698835224418523
229,-7.91590909090909,1.8677018582820892,1.4114536758833314,857.1918930549826,4.164316245865153
230,-8.027906976744184,2.954342305660248,1.151560220388478,451.33794834330064,3.92670851938448
231,-7.9651162790697665,2.9482815265655518,1.1347592749050737,450.42885736504667,4.052121992396972
233,-5.052272727272728,1.3723051100969315,1.6075888927019797,520.1967037837118,2.823887330190619
234,-7.48409090909091,2.1957305669784546,1.4378027417032833,769.0969756464884,3.491259882241468
236,-6.450000000000002,0.9722771483939139,1.8309719468648824,320.2101267043676,3.2305522399934756
237,-9.704651162790698,2.9554771184921265,1.1759368581312142,206.4350323092624,4.3333749793326195
240,-6.864705882352941,1.164066061377525,1.8245068735309955,387.1102747529858,6.222520674157499
241,-7.897297297297295,1.8063319027423859,1.5069057997135982,785.5682137581117,4.32396165891519
243,-7.595348837209301,1.2219823747873306,1.513336576712657,639.8464199028747,3.3833957963520245
244,-8.095454545454542,2.711081624031067,1.2090772052033092,582.04127810611,3.488384167429133
